Price,Close,High,Low,Open,Volume
Ticker,SGO.PA,SGO.PA,SGO.PA,SGO.PA,SGO.PA
Date,,,,,
2013-01-02,24.00588035583496,24.0452932139121,23.461270541585364,23.51859659559672,1918360
2013-01-03,23.866146087646484,24.06321038822635,23.701329915155682,24.013046329689228,907086
2013-01-04,23.93780517578125,23.93780517578125,23.683414809366646,23.72999513671865,1330516
2013-01-07,23.701326370239258,23.923468566481944,23.590252538531132,23.855394054852788,1281501
2013-01-08,23.042064666748047,23.704915885677835,22.977571138068996,23.525767498634636,1897657
2013-01-09,22.981151580810547,23.274954784151628,22.719595137191952,23.08505795844895,1482072
2013-01-10,22.866497039794922,23.120887388290456,22.633603620201605,22.977568150572484,1701215
2013-01-11,22.730348587036133,22.891582421012597,22.393550085791606,22.85575328759286,1606339
2013-01-14,22.819915771484375,23.719239865046763,22.784086649080166,23.500678664718222,2267324
2013-01-15,22.46879005432129,22.916661015538637,22.400714160261987,22.748262463540634,2046383
2013-01-16,22.6801815032959,22.726760458367192,22.246642811583015,22.468786389410475,1481043
2013-01-17,22.819915771484375,22.913073676604775,22.350547980739545,22.594189840109717,1977618
2013-01-18,22.31830596923828,22.816338257234207,22.225148044310387,22.540449582322672,2683199
2013-01-21,22.601362228393555,22.705267259002127,22.38280096723472,22.483123631323185,1112523
2013-01-22,22.640771865844727,22.651521698108812,22.171403983054518,22.640771865844727,1679625
2013-01-23,22.50103759765625,22.680185988349045,22.39713120302393,22.569114860867515,1319034
2013-01-24,22.64435577392578,22.655104239479286,22.311139673830272,22.569113781463876,1196787
2013-01-25,22.662267684936523,22.798420822109474,22.472370859495964,22.662267684936523,1615856
2013-01-28,22.608522415161133,22.83066736496347,22.515365869639208,22.787670774605495,1368708
2013-01-29,22.314720153808594,22.71601347993793,22.114074857537496,22.647936225737176,1834997
2013-01-30,21.784440994262695,22.0173344163741,21.691284445494272,21.931342599454847,3447291
2013-01-31,21.7629451751709,21.917011520070545,21.519303276064953,21.770109907385518,2682847
2013-02-01,21.780858993530273,21.85968334633485,21.691284809184577,21.780858993530273,2043927
2013-02-04,21.37240219116211,21.960008656412914,21.37240219116211,21.848936169232612,2555647
2013-02-05,21.63395881652832,21.709200808324,21.139508903539905,21.23266546003069,1941059
2013-02-06,21.397483825683594,21.748614500927278,21.17533884124462,21.608878977460208,3057134
